name,rating,genre,score,director,writer,star,budget,Run,released
The Trip to Bountiful,PG,Drama,7.5,Peter Masterson,Horton Foote,Geraldine Page,0.0,108.0,1986-01-24
Missing in Action 2: The Beginning,R,Action,5.3,Lance Hool,Steve Bing,Chuck Norris,2410000.0,100.0,1985-03-01
The Protector,R,Action,5.7,James Glickenhaus,James Glickenhaus,Jackie Chan,5000000.0,91.0,1985-08-23
The Mean Season,R,Crime,6.1,Phillip Borsos,John Katzenbach,Kurt Russell,7000000.0,103.0,1985-02-15
Turk 182,PG-13,Comedy,6.0,Bob Clark,James Gregory Kingston,Timothy Hutton,0.0,102.0,1985-02-15
The Official Story,Not Rated,Drama,7.8,Luis Puenzo,Aída Bortnik,Norma Aleandro,0.0,112.0,1985-11-08
Krush Groove,R,Comedy,6.5,Michael Schultz,Ralph Farquhar,Sheila E.,3000000.0,97.0,1985-10-25
He-Man and She-Ra: The Secret of the Sword,G,Animation,7.3,Directors,Larry DiTillio,John Erwin,2000000.0,100.0,1985-03-22
Warning Sign,R,Drama,6.1,Hal Barwood,Hal Barwood,Sam Waterston,0.0,99.0,1985-08-23
Creator,R,Comedy,6.2,Ivan Passer,Jeremy Leven,Peter O'Toole,0.0,107.0,1985-09-20
Taipei Story,Not Rated,Drama,7.7,Edward Yang,T'ien-wen Chu,Chin Tsai,0.0,119.0,1985-01-01
Otac na sluzbenom putu,R,Drama,7.8,Emir Kusturica,Abdulah Sidran,Moreno D'E Bartolli,0.0,136.0,1985-10-11
The Aviator,PG,Adventure,5.5,George Miller,Ernest K. Gann,Christopher Reeve,0.0,96.0,1985-03-15
Starchaser: The Legend of Orin,PG,Animation,6.5,Steven Hahn,Jeffrey Scott,Joe Colligan,15000000.0,100.0,1985-11-22
Maxie,PG,Comedy,5.4,Paul Aaron,Jack Finney,Glenn Close,0.0,98.0,1985-09-27
DEFCON-4,R,Action,4.5,Paul Donovan,Paul Donovan,Lenore Zann,0.0,88.0,1985-03-15
The Care Bears Movie,G,Animation,5.7,Arna Selznick,Peter Sauder,Georgia Engel,2000000.0,77.0,1985-03-29
Sylvester,PG,Drama,6.4,Tim Hunter,Carol Sobieski,Richard Farnsworth,0.0,104.0,1985-03-15
Radioactive Dreams,R,Action,5.6,Albert Pyun,Albert Pyun,John Stockwell,0.0,98.0,1986-09-19
Twice in a Lifetime,R,Drama,6.5,Bud Yorkin,Colin Welland,Gene Hackman,8000000.0,111.0,1985-11-08
Dance with a Stranger,R,Biography,6.7,Mike Newell,Shelagh Delaney,Miranda Richardson,0.0,96.0,1985-08-09
Water,PG-13,Adventure,6.1,Dick Clement,Dick Clement,Michael Caine,0.0,115.0,1986-04-18
One Magic Christmas,G,Family,6.5,Phillip Borsos,Thomas Meehan,Mary Steenburgen,0.0,89.0,1985-11-22
Echo Park,R,Comedy,5.8,Robert Dornhelm,Michael Ventura,Susan Dey,0.0,88.0,1986-07-25
O.C. and Stiggs,R,Comedy,5.4,Robert Altman,Tod Carroll,Daniel Jenkins,7000000.0,109.0,1985-01-01
The Good Father,R,Drama,6.2,Mike Newell,Peter Prince,Anthony Hopkins,0.0,90.0,1987-02-11
Fever Pitch,R,Drama,4.1,Richard Brooks,Richard Brooks,Ryan O'Neal,7000000.0,96.0,1985-11-22
The Doctor and the Devils,R,Crime,6.1,Freddie Francis,Dylan Thomas,Timothy Dalton,0.0,93.0,1985-10-04
